oem162.inf	prnms009.cat	Printer	"Microsoft"	06/21/2006,10.0.22621.1
oem163.inf	qcsubsys_ext_mpss8180.cat	Extension	%QUALCOMM%	07/28/2020,2.0.0900.0004
oem164.inf	space_pahp.cat	Firmware	%DRIVER_PROVIDER%	11/24/2021, 1.0.0002.0000
oem165.inf	qccamavscls8180.cat	CAMERA	%QC%	07/23/2023,4231.62.0.0
oem166.inf	qccamfrontsensor8180.cat	Camera	%QC%	07/23/2023,4231.62.0.0
oem167.inf	qccamisp8180.cat	Camera	%QC%	07/23/2023,4231.60.0.0
oem168.inf	qccamjpege8180.cat	Camera	%QC%	07/23/2023,4231.60.0.0
oem169.inf	qccammipicsi8180.cat	Camera	%QC%	07/23/2023,4231.60.0.0
oem17.inf	ModemCtrl.cat	System	%ManufacturerName%	07/27/2020,13.24.21.688
oem170.inf	qccamplatform8180.cat	Camera	%QC%	07/23/2023,4231.62.0.0
oem171.inf	qccamplatform8180.cat	Net	%Wintun.CompanyName%	10/13/2021,0.14.0.0
oem18.inf	Monitor_Space.cat	Monitor	%ManufacturerName%	01/10/2020,15.1.1.1
oem19.inf	PanelDriver.cat	System	%ManufacturerName%	03/03/2020,0.1.0.5
oem2.inf	dax3_ext_qc_dolbyatmos_vlldp1.2.cat	Extension	%ManufacturerName%	08/26/2019,3.0.4.1
oem20.inf	dax3_ext_qc_dolbyatmos_vlldp1.2.cat	NetService	%ClasFilt.Provider%	10/07/2025,10.1.0.2237
oem21.inf	prnms001.cat	Printer	"Microsoft"	06/21/2006,10.0.19041.1806
oem22.inf	prnms001.cat	USB	%ClasFilt.Provider%	10/07/2025,10.1.0.2237
oem23.inf	prnms001.cat	Ports	%ClasFilt.Provider%	10/07/2025,10.1.0.2237
oem26.inf	qcabd.cat	System	%QC%	03/20/2020,1.0.1040.0000
oem28.inf	qcacsp8180.cat	Extension	%QCOM%	11/28/2019,1.0.0770.0009
oem3.inf	dax3_ext_qc_dolbyaudiopremium.cat	Extension	%ManufacturerName%	09/05/2019,3.20201.231.0
oem30.inf	qcadc8180.cat	System	%QUALCOMM%	03/20/2020,1.0.1040.0000
oem31.inf	qcadcm8180.cat	SYSTEM	%QCOM%	03/20/2020,1.0.1040.0000
