Path	SizeBytes	LastWriteTime
qcwlan8180.inf_arm64_59a3e6c522523a44\bdwlan.b36	26328	2021-05-01 05:02:46
qcwlan8180.inf_arm64_59a3e6c522523a44\bdwlan.b37	26328	2021-05-01 05:02:46
qcwlan8180.inf_arm64_59a3e6c522523a44\bdwlan.b46	26328	2021-05-01 05:02:46
qcwlan8180.inf_arm64_59a3e6c522523a44\bdwlan.b47	26328	2021-05-01 05:02:46
qcwlan8180.inf_arm64_59a3e6c522523a44\bdwlan.b48	26328	2021-05-01 05:02:46
qcwlan8180.inf_arm64_59a3e6c522523a44\bdwlan.b58	26328	2021-05-01 05:02:46
qcwlan8180.inf_arm64_59a3e6c522523a44\bdwlan.b5f	26328	2021-05-01 05:02:46
qcwlan8180.inf_arm64_59a3e6c522523a44\bdwlan.b71	26328	2021-05-01 05:02:46
qcwlan8180.inf_arm64_59a3e6c522523a44\bdwlan.bin	26328	2021-05-01 05:02:46
qcwlan8180.inf_arm64_59a3e6c522523a44\bdwlanu.b58	26328	2021-05-01 05:02:46
qcwlan8180.inf_arm64_59a3e6c522523a44\bdwlanu.b5f	26328	2021-05-01 05:02:46
qcwlan8180.inf_arm64_59a3e6c522523a44\wlanmdsp.mbn	4316816	2021-05-01 05:02:46
tpadfwupdatesrvinstall.inf_arm64_fb0adf4622054fc4\Space_ZI_040F.mng.bin	49152	2020-06-29 19:19:04
