Device	Component	FState	Rail	Mode	Microvolt	Microamp	Param4	Param5	Line
\_SB.SDC2			LDO6_C						41712
\_SB.URS0.USB0			LDO12_A	0x001B7740	0x07				42880
\_SB.URS0.USB0			LDO16_E	0x002EE000	0x07				42894
\_SB.URS0.USB0			LDO3_C	0x00124F80	0x07				42908
\_SB.URS0.USB0			LDO5_E	0x000D6D80	0x07				42922
\_SB.URS0.USB0			LDO12_A	0x001B7740	0x04				43263
\_SB.URS0.USB0			LDO16_E	0x002EE000	0x04				43277
\_SB.URS0.USB0			LDO3_C	0x00124F80	0x04				43291
\_SB.URS0.USB0			LDO5_E	0x000D6D80	0x04				43305
\_SB.URS0.USB0			LDO12_A	0x001B7740	0x04				43453
\_SB.URS0.USB0			LDO16_E	0x002EE000	0x04				43467
\_SB.URS0.USB0			LDO3_C	0x00124F80	0x04				43481
\_SB.URS0.USB0			LDO5_E	0x000D6D80	0x04				43495
\_SB.URS0.USB0			LDO16_E	0x04					43643
\_SB.URS0.USB0			LDO12_A	0x04					43657
\_SB.URS0.USB0			LDO3_C	0x04					43671
\_SB.URS0.USB0			LDO5_E	0x04					43685
\_SB.URS0.UFN0			LDO12_A	0x001B7740	0x07				43738
\_SB.URS0.UFN0			LDO16_E	0x002EE000	0x07				43752
\_SB.URS0.UFN0			LDO3_C	0x00124F80	0x07				43766
\_SB.URS0.UFN0			LDO5_E	0x000D6D80	0x07				43780
\_SB.URS0.UFN0			LDO12_A	0x001B7740	0x04				44084
\_SB.URS0.UFN0			LDO16_E	0x002EE000	0x04				44098
\_SB.URS0.UFN0			LDO3_C	0x00124F80	0x04				44112
\_SB.URS0.UFN0			LDO5_E	0x000D6D80	0x04				44126
\_SB.URS0.UFN0			LDO16_E	0x04					44264
\_SB.URS0.UFN0			LDO12_A	0x04					44278
\_SB.URS0.UFN0			LDO3_C	0x04					44292
\_SB.URS0.UFN0			LDO5_E	0x04					44306
\_SB.URS1.USB1			LDO12_A	0x001B7740	0x07				44411
\_SB.URS1.USB1			LDO16_E	0x002EE000	0x07				44425
\_SB.URS1.USB1			LDO3_C	0x00124F80	0x07				44439
\_SB.URS1.USB1			LDO5_E	0x000D6D80	0x07				44453
\_SB.URS1.USB1			LDO12_A	0x001B7740	0x04				44794
\_SB.URS1.USB1			LDO16_E	0x002EE000	0x04				44808
\_SB.URS1.USB1			LDO3_C	0x00124F80	0x04				44822
\_SB.URS1.USB1			LDO5_E	0x000D6D80	0x04				44836
\_SB.URS1.USB1			LDO12_A	0x001B7740	0x04				44984
\_SB.URS1.USB1			LDO16_E	0x002EE000	0x04				44998
\_SB.URS1.USB1			LDO3_C	0x00124F80	0x04				45012
\_SB.URS1.USB1			LDO5_E	0x000D6D80	0x04				45026
\_SB.URS1.USB1			LDO16_E	0x04					45174
\_SB.URS1.USB1			LDO12_A	0x04					45188
\_SB.URS1.USB1			LDO3_C	0x04					45202
\_SB.URS1.USB1			LDO5_E	0x04					45216
\_SB.URS1.UFN1			LDO12_A	0x001B7740	0x07				45269
\_SB.URS1.UFN1			LDO16_E	0x002EE000	0x07				45283
\_SB.URS1.UFN1			LDO3_C	0x00124F80	0x07				45297
\_SB.URS1.UFN1			LDO5_E	0x000D6D80	0x07				45311
\_SB.URS1.UFN1			LDO12_A	0x001B7740	0x04				45615
\_SB.URS1.UFN1			LDO16_E	0x002EE000	0x04				45629
\_SB.URS1.UFN1			LDO3_C	0x00124F80	0x04				45643
\_SB.URS1.UFN1			LDO5_E	0x000D6D80	0x04				45657
\_SB.URS1.UFN1			LDO16_E	0x04					45795
\_SB.URS1.UFN1			LDO12_A	0x04					45809
\_SB.URS1.UFN1			LDO3_C	0x04					45823
\_SB.URS1.UFN1			LDO5_E	0x04					45837
\_SB.USB2			LDO12_A	0x001B7740	0x07				45890
\_SB.USB2			LDO16_E	0x002EE000	0x07				45904
\_SB.USB2			LDO3_C	0x00124F80	0x07				45918
\_SB.USB2			LDO5_E	0x000D6D80	0x07				45932
\_SB.USB2			LDO12_A	0x001B7740	0x04				46274
\_SB.USB2			LDO16_E	0x002EE000	0x04				46288
\_SB.USB2			LDO3_C	0x00124F80	0x04				46302
\_SB.USB2			LDO5_E	0x000D6D80	0x04				46316
\_SB.USB2			LDO12_A	0x001B7740	0x04				46454
\_SB.USB2			LDO16_E	0x002EE000	0x04				46468
\_SB.USB2			LDO3_C	0x00124F80	0x04				46482
\_SB.USB2			LDO5_E	0x000D6D80	0x04				46496
\_SB.USB2			LDO16_E	0x04					46634
\_SB.USB2			LDO12_A	0x04					46648
\_SB.USB2			LDO3_C	0x04					46662
\_SB.USB2			LDO5_E	0x04					46676
\_SB.URS0.USB0			LDO12_A	0x001B7740	0x07				47359
\_SB.URS0.USB0			LDO16_E	0x002EE000	0x07				47373
\_SB.URS0.USB0			LDO3_C	0x00124F80	0x07				47387
\_SB.URS0.USB0			LDO9_E	0x000DEA80	0x07				47401
\_SB.URS0.USB0			LDO5_E	0x000D6D80	0x07				47415
\_SB.URS0.USB0			LDO12_A	0x001B7740	0x04				47756
\_SB.URS0.USB0			LDO16_E	0x002EE000	0x04				47770
\_SB.URS0.USB0			LDO3_C	0x00124F80	0x04				47784
\_SB.URS0.USB0			LDO9_E	0x000DEA80	0x04				47798
\_SB.URS0.USB0			LDO5_E	0x000D6D80	0x04				47812
\_SB.URS0.USB0			LDO12_A	0x001B7740	0x04				47960
\_SB.URS0.USB0			LDO16_E	0x002EE000	0x04				47974
\_SB.URS0.USB0			LDO3_C	0x00124F80	0x04				47988
\_SB.URS0.USB0			LDO9_E	0x000DEA80	0x04				48002
\_SB.URS0.USB0			LDO5_E	0x000D6D80	0x04				48016
\_SB.URS0.USB0			LDO16_E	0x04					48164
\_SB.URS0.USB0			LDO12_A	0x04					48178
\_SB.URS0.USB0			LDO3_C	0x04					48192
\_SB.URS0.USB0			LDO9_E	0x04					48206
\_SB.URS0.USB0			LDO5_E	0x04					48220
\_SB.URS0.UFN0			LDO12_A	0x001B7740	0x07				48273
\_SB.URS0.UFN0			LDO16_E	0x002EE000	0x07				48287
\_SB.URS0.UFN0			LDO3_C	0x00124F80	0x07				48301
\_SB.URS0.UFN0			LDO9_E	0x000DEA80	0x07				48315
